Year,DisplayTitle,PhotoTitle,description,filter,photoLink,source,Lat,Lon
1863,Wreck of Oliver Land,Wreck of Oliver Land at mouth of Kaiwharawhara Stream,"Wreck of the ship Oliver Lang, at Kaiwharawhara, Wellington, circa 1863. The tollgate, and a hotel (centre), are visible. Photographer unidentified.",historical,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE86607,https://natlib.govt.nz/records/22309600,-41.29101142,174.7534087
1885,Kaiwharawhara Stream,Kaiwharawhara Stream,"Kaiwharawhara Stream, Wellington, surrounded by trees and bush. Taken by William Williams, ca 1885.",historical,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE55989,https://natlib.govt.nz/records/22347324?search%5Bi%5D%5Bplace_authority_id%5D=-317837&search%5Bpath%5D=items,-41.29101142,174.7534087
1888,Ngaio Gorge,"Ngaio Gorge, showing Schultze's dam on the Kaiwharawhara Stream, and No 2 tunnel of the Wellington and Manawatu Railway","View looking east down the Ngaio Gorge at Kaiwharawhara, showing in the foreground the dam on the Kaiwharawhara Stream built by Charles William Schultze (1818-1879) to power his flour mill. The northern portal of No 2 tunnel on the Wellington and Manawatu Railway is at the extreme right. Photograph taken between 1885 and 1888 by Wrigglesworth & Binns of Wellington. Identifed from ""Uncommon Carrier"", by K R Cassells, Wellington, 1994.",historical,https://thumbnailer.digitalnz.org/?src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE138319,https://digitalnz.org/records/22893475/ngaio-gorge-showing-schultzes-dam-on-the-kaiwharawhara-stream-and-no-2-tunn,-41.29101142,174.7534087
1900,The banks of Te Kaiwharawhara,,"Photographer William Williams and an unidentified man, who is smoking a pipe, sitting on the banks of Kaiwharawhara Stream, Wellington Region, including derelict bridge",historical,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE8903173,https://natlib.govt.nz/records/23211190?search%5Bi%5D%5Bplace_authority_id%5D=-317837&search%5Bpath%5D=items,-41.29101142,174.7534087
1957,Construction on the Lower Karori Dam,Construction of the Karori resivoir bypass overflow,"Excepts from Heritage New Zealand Pouhere Toanga: Since being designated the capital in 1865, Wellington had grown apace. Significant development of the infrastructure was planned and the population was expected to increase rapidly, with immigration schemes already bringing people in. In 1867 the Wellington Town Board started planning a water supply scheme for public use.

The Kaiwharawhara Stream was selected as the source for the water supply, because of its clean water (other streams were being used as sewers) and its elevation (allowing the water to flow by gravity). Work finally got underway in 1872, with the building of a tunnel through Baker's Hill to the head of the Aro Valley and at the other end of the tunnel a distributing basin. Shortage of funds at this point delayed the construction of the dam and so a small weir was placed across the Kaiwharawhara Stream to divert a flow into the tunnel with the distributing basin acting as a reservoir. The houses of Wellington began receiving piped water from this source in May 1874.",historical,https://archivesonline.wcc.govt.nz/assets/display/272020-max?u=8006402cee35c9542c2af77a8b5dd422,https://archivesonline.wcc.govt.nz/nodes/view/675848,-41.29109664,174.7525953
1957,Construction on the Lower Karori Dam,Construction of the Karori resivoir bypass overflow,,historical,https://archivesonline.wcc.govt.nz/assets/display/272016-max?u=0a8791d3067cebd99c4e75035e66dc87,https://archivesonline.wcc.govt.nz/nodes/view/675846,-41.29109664,174.7525953
1967,Kaiwharawhara Estuary,Kaiwharawhara Stream near the estuary,,historical,https://archivesonline.wcc.govt.nz/assets/display/253129-max?u=f3b523ca887ddc50db8964cc4429b169,https://archivesonline.wcc.govt.nz/nodes/view/666402,-41.2606288,174.7896782
1967,Kaiwharawhara Estuary,Kaiwharawhara Stream near the estuary,,historical,https://archivesonline.wcc.govt.nz/assets/display/253120-max?u=c2ce821538d7a1edd93bc3a2f26a8123,https://archivesonline.wcc.govt.nz/nodes/view/666398,-41.2606288,174.7896782
1970,Kaiwharawhara Estuary,Kaiwharawhara crossing at Hutt road,,historical,https://archivesonline.wcc.govt.nz/assets/display/284670-max?u=1735c12c34a353d2274c9f821899eebb,https://archivesonline.wcc.govt.nz/nodes/view/686193,-41.29101142,174.7534087
950,Kupe Arrives in Aotearoa,Statue of Kupe on the Wellington waterfront,"According to some tribal narratives, Kupe was the first Polynesian to discover the islands of New Zealand. His journey there was triggered by difficulties with fishing in Hawaiki, his homeland. Apparently the problem was a great octopus belonging to Kupe’s competitor, Muturangi. Kupe set out in his canoe to kill the octopus, and such was the length of the pursuit that it brought him to New Zealand. With a companion known as Ngake (or Ngahue) in another canoe called Tāwhirirangi, he pursued the creature all the way to Cook Strait (known as Raukawakawa), where it was finally destroyed. Read more about the story of Kupe: http://archive.hokulea.com/ike/moolelo/kupe.html",purakau,https://www.upperhutt.govt.nz/files/assets/public/v/1/heritage/statue_of_kupe_wellington_waterfront.jpg?w=1080,https://www.upperhutt.govt.nz/Welcome/Mana-Whenua/Kupe,,
1,The Separation of Papatūānuku and Ranginui,The painting “Triumph by Jane Crisp” portrays the particular moment in the Maori creation myth in which Tane Mahuta successfully separates his parents,"“In the beginning there was no sky, no sea no earth and no Gods. There was only darkness, only Te Kore, the Nothingness. From this nothingness, the primal parents of the Maori came, Papatuanuku, the Earth mother, and Ranginui, the Sky father.” Read more of the story at https://spatialfab.home.blog/2019/09/17/tane-mahuta-concept-inspiration/",purakau,https://farm2.staticflickr.com/1798/42906975052_3cf330bc4c_o.jpg,https://stampaday.wordpress.com/2018/06/23/the-maori-legend-of-rangi-and-papa/,,
2,The Separation of Papatūānuku and Ranginui,The painting “Triumph by Jane Crisp” portrays the particular moment in the Maori creation myth in which Tane Mahuta successfully separates his parents,"“In the beginning there was no sky, no sea no earth and no Gods. There was only darkness, only Te Kore, the Nothingness. From this nothingness, the primal parents of the Maori came, Papatuanuku, the Earth mother, and Ranginui, the Sky father.” Read more of the story at https://spatialfab.home.blog/2019/09/17/tane-mahuta-concept-inspiration/",purakau,https://spatialfab.home.blog/wp-content/uploads/2019/09/tane-mahuta-jane-crisp-landscape-1.jpg ,https://spatialfab.home.blog/2019/09/17/tane-mahuta-concept-inspiration/,,
